maker,genmodel,genmodel_ID,import_year,import_month,import_region,color,model_year,body_type,runned_miles,engine_size,gearbox_type,fuel_type,listed_price,seat_num,door_num,reg_city,title,sale_year,sale_month,sale_status,import_to_sale_months,electric_type,country_of_origin,date_of_import,date_of_sale
Lexus,RX 350,48_24,2017,5,USA,Grey,2007,SUV,129121,3.5,Automatic,Petrol,3600,5,5,Aden,body_damage,2019.0,9.0,sold,28.0,not_fully_electric,Japanese,"May, 2017","September, 2019"
Jeep,Grand Cherokee,40_4,2017,4,USA,Black,2007,SUV,116000,3.0,Automatic,Diesel,3700,5,5,Hudaydah,clean,2020.0,5.0,sold,37.0,not_fully_electric,American,"April, 2017","May, 2020"
Kia,Optima,43_6,2017,5,Korea,Black,2013,Saloon,152483,1.7,Manual,Diesel,3700,5,4,Aden,body_damage,2019.0,12.0,sold,31.0,not_fully_electric,Korean,"May, 2017","December, 2019"
Kia,Rio,43_9,2017,6,Korea,Black,2009,Hatchback,7951,1.4,Manual,Petrol,4900,5,5,Sana'a,body_damage,2019.0,2.0,sold,20.0,not_fully_electric,Korean,"June, 2017","February, 2019"
Nissan,Pathfinder,64_24,2017,5,USA,Blue,2007,MPV,112000,2.5,Manual,Diesel,3700,7,5,Hadhramout,clean,2019.0,3.0,sold,22.0,not_fully_electric,Japanese,"May, 2017","March, 2019"
Hyundai,i30,36_10,2017,8,Korea,Blue,2011,Hatchback,68600,1.6,Automatic,Diesel,4300,5,5,Hudaydah,clean,2019.0,5.0,sold,21.0,not_fully_electric,Korean,"August, 2017","May, 2019"
Jeep,Grand Cherokee,40_4,2017,7,USA,Black,2008,SUV,108000,3.0,Automatic,Diesel,3800,5,5,Hadhramout,clean,,,unsold,,not_fully_electric,American,"July, 2017",
Mercedes-Benz,C Class,59_12,2017,5,USA,Black,2010,Estate,173000,2.1,Manual,Diesel,3800,5,5,Aden,body_damage,2019.0,4.0,sold,23.0,not_fully_electric,European,"May, 2017","April, 2019"
Nissan,Pathfinder,64_24,2019,5,USA,Silver,2007,MPV,115000,2.5,Manual,Diesel,3800,7,5,Sana'a,clean,2021.0,3.0,sold,22.0,not_fully_electric,Japanese,"May, 2019","March, 2021"
Toyota,Hilux,92_19,2019,6,GCC,Black,2007,Pickup,182000,3.0,Manual,Diesel,3500,4,4,Hadhramout,frame_damage,,,unsold,,not_fully_electric,Japanese,"June, 2019",
Jeep,Grand Cherokee,40_4,2019,8,USA,Black,2007,SUV,112907,3.0,Automatic,Diesel,3800,5,5,Sana'a,body_damage,,,unsold,,not_fully_electric,American,"August, 2019",
Nissan,Pathfinder,64_24,2020,5,USA,Green,2007,MPV,96000,2.5,Manual,Diesel,4100,5,5,Hudaydah,body_damage,2022.0,11.0,sold,30.0,not_fully_electric,Japanese,"May, 2020","November, 2022"
Toyota,Hilux,92_19,2020,2,GCC,White,2008,Pickup,166000,2.5,Manual,Diesel,3800,5,2,Hadhramout,clean,2022.0,1.0,sold,23.0,not_fully_electric,Japanese,"February, 2020","January, 2022"
Jeep,Cherokee,40_1,2020,4,USA,Silver,2007,SUV,53800,2.8,Automatic,Diesel,4400,5,5,Hadhramout,body_damage,2022.0,4.0,sold,24.0,not_fully_electric,American,"April, 2020","April, 2022"
Lexus,LS 460,48_15,2020,4,USA,Silver,2007,Saloon,164000,4.6,Automatic,Petrol,3900,5,4,Sana'a,clean,2022.0,9.0,sold,29.0,not_fully_electric,Japanese,"April, 2020","September, 2022"
Nissan,Pathfinder,64_24,2020,3,USA,Black,2007,MPV,140000,2.5,Manual,Diesel,4000,7,5,Sana'a,body_damage,2022.0,10.0,sold,31.0,not_fully_electric,Japanese,"March, 2020","October, 2022"
Jeep,Grand Cherokee,40_4,2019,2,USA,Blue,2007,SUV,126443,3.0,Automatic,Diesel,4100,5,5,Sana'a,body_damage,,,unsold,,not_fully_electric,American,"February, 2019",
Kia,Sorento,43_11,2019,8,Korea,Black,2011,SUV,156000,2.2,Manual,Diesel,4100,7,5,Sana'a,body_damage,2021.0,7.0,sold,23.0,not_fully_electric,Korean,"August, 2019","July, 2021"
Nissan,Juke,64_14,2019,6,USA,Black,2010,SUV,78368,1.6,Manual,Petrol,4300,5,5,Hudaydah,clean,2021.0,7.0,sold,25.0,not_fully_electric,Japanese,"June, 2019","July, 2021"
Suzuki,Grand Vitara,87_4,2019,5,USA,Black,2009,SUV,89960,1.9,Manual,Diesel,4300,5,5,Hudaydah,body_damage,2021.0,11.0,sold,30.0,not_fully_electric,Japanese,"May, 2019","November, 2021"
Jeep,Grand Cherokee,40_4,2019,4,USA,Grey,2008,SUV,77625,3.0,Automatic,Diesel,4400,5,5,Aden,body_damage,,,unsold,,not_fully_electric,American,"April, 2019",
Lexus,LS 460,48_15,2019,4,USA,Blue,2007,Saloon,146000,4.6,Automatic,Petrol,4100,5,4,Hadhramout,clean,2021.0,3.0,sold,23.0,not_fully_electric,Japanese,"April, 2019","March, 2021"
Nissan,Pathfinder,64_24,2019,5,USA,Black,2008,MPV,111626,2.5,Automatic,Diesel,4100,7,5,Aden,body_damage,2021.0,2.0,sold,21.0,not_fully_electric,Japanese,"May, 2019","February, 2021"
Suzuki,Grand Vitara,87_4,2019,8,USA,Silver,2011,SUV,94000,1.6,Manual,Petrol,4500,5,3,Sana'a,clean,2021.0,5.0,sold,21.0,not_fully_electric,Japanese,"August, 2019","May, 2021"
Jeep,Grand Cherokee,40_4,2019,4,USA,Black,2007,SUV,100000,3.0,Automatic,Diesel,4600,5,5,Hudaydah,body_damage,,,unsold,,not_fully_electric,American,"April, 2019",
Mercedes-Benz,C Class,59_12,2019,4,USA,Silver,2009,Estate,117200,3.0,Automatic,Diesel,4300,5,5,Hudaydah,body_damage,,,unsold,,not_fully_electric,European,"April, 2019",
Nissan,Pathfinder,64_24,2019,5,USA,Grey,2007,MPV,98800,2.5,Manual,Diesel,4600,7,5,Hudaydah,body_damage,2021.0,6.0,sold,25.0,not_fully_electric,Japanese,"May, 2019","June, 2021"
Nissan,Juke,64_14,2019,6,USA,Red,2012,SUV,89000,1.5,Manual,Diesel,4600,5,5,Sana'a,clean,2021.0,7.0,sold,25.0,not_fully_electric,Japanese,"June, 2019","July, 2021"
Nissan,Pathfinder,64_24,2019,4,USA,Silver,2007,MPV,103000,2.5,Manual,Diesel,4300,7,5,Sana'a,body_damage,2021.0,6.0,sold,26.0,not_fully_electric,Japanese,"April, 2019","June, 2021"
Suzuki,SX4,87_11,2019,3,USA,Black,2013,Hatchback,67000,1.6,Manual,Petrol,4800,5,5,Aden,body_damage,2021.0,2.0,sold,23.0,not_fully_electric,Japanese,"March, 2019","February, 2021"
Toyota,Hilux,92_19,2019,8,GCC,White,2007,Pickup,126556,2.5,Manual,Diesel,4300,2,2,Sana'a,clean,2021.0,12.0,sold,28.0,not_fully_electric,Japanese,"August, 2019","December, 2021"
Jeep,Grand Cherokee,40_4,2019,8,USA,Black,2008,SUV,91000,3.0,Automatic,Diesel,4600,5,5,Hadhramout,body_damage,,,unsold,,not_fully_electric,American,"August, 2019",
Jeep,Grand Cherokee,40_4,2019,8,USA,Black,2008,SUV,69000,3.0,Automatic,Diesel,4900,5,5,Sana'a,body_damage,,,unsold,,not_fully_electric,American,"August, 2019",
Nissan,Pathfinder,64_24,2019,5,USA,Black,2007,MPV,130000,2.5,Automatic,Diesel,4400,7,5,Sana'a,clean,2021.0,2.0,sold,21.0,not_fully_electric,Japanese,"May, 2019","February, 2021"
Mercedes-Benz,C Class,59_12,2019,4,USA,Grey,2008,Saloon,107000,1.8,Automatic,Petrol,4400,5,4,Hadhramout,clean,,,unsold,,not_fully_electric,European,"April, 2019",
Nissan,Juke,64_14,2019,5,USA,Red,2010,SUV,80915,1.6,Manual,Petrol,4700,5,5,Sana'a,clean,2021.0,8.0,sold,27.0,not_fully_electric,Japanese,"May, 2019","August, 2021"
Nissan,Juke,64_14,2019,7,USA,Red,2011,SUV,90000,1.6,Manual,Petrol,4700,5,5,Sana'a,clean,2021.0,4.0,sold,21.0,not_fully_electric,Japanese,"July, 2019","April, 2021"
Toyota,Prius,92_30,2019,8,USA,White,2009,Hatchback,150000,1.8,Automatic,Hybrid  Petrol/Electric,4400,5,5,Sana'a,body_damage,2021.0,3.0,sold,19.0,not_fully_electric,Japanese,"August, 2019","March, 2021"
Kia,Soul,43_12,2019,5,Korea,White,2011,Hatchback,64000,1.6,Manual,Diesel,5100,5,5,Hudaydah,clean,2021.0,9.0,sold,28.0,not_fully_electric,Korean,"May, 2019","September, 2021"
Kia,Optima,43_6,2019,6,Korea,Grey,2012,Saloon,82142,1.7,Manual,Diesel,4800,5,4,Hadhramout,clean,2021.0,5.0,sold,23.0,not_fully_electric,Korean,"June, 2019","May, 2021"
Lexus,RX 350,48_24,2019,5,USA,Black,2007,SUV,95712,3.5,Automatic,Petrol,4800,5,5,Hadhramout,body_damage,2021.0,3.0,sold,22.0,not_fully_electric,Japanese,"May, 2019","March, 2021"
Suzuki,Grand Vitara,87_4,2019,7,USA,Black,2011,SUV,77000,2.4,Manual,Petrol,4800,4,3,Aden,clean,2020.0,8.0,sold,13.0,not_fully_electric,Japanese,"July, 2019","August, 2020"
Toyota,RAV4,92_34,2019,6,USA,Grey,2010,SUV,112000,2.2,Manual,Diesel,4500,5,5,Aden,body_damage,2020.0,6.0,sold,12.0,not_fully_electric,Japanese,"June, 2019","June, 2020"
Kia,Soul,43_12,2019,7,Korea,Black,2012,Hatchback,58302,1.6,Manual,Petrol,5200,5,5,Sana'a,clean,2020.0,7.0,sold,12.0,not_fully_electric,Korean,"July, 2019","July, 2020"
Kia,Soul,43_12,2019,2,Korea,White,2012,Hatchback,74412,1.6,Automatic,Diesel,4900,5,5,Hadhramout,clean,2020.0,12.0,sold,22.0,not_fully_electric,Korean,"February, 2019","December, 2020"
Kia,Soul,43_12,2019,4,Korea,Silver,2011,Hatchback,59000,1.6,Manual,Diesel,5200,5,5,Aden,body_damage,2020.0,8.0,sold,16.0,not_fully_electric,Korean,"April, 2019","August, 2020"
Lexus,RX 350,48_24,2019,5,USA,Silver,2007,SUV,94700,3.5,Automatic,Petrol,4900,5,5,Hadhramout,clean,2020.0,6.0,sold,13.0,not_fully_electric,Japanese,"May, 2019","June, 2020"
Nissan,Juke,64_14,2019,6,USA,Black,2016,SUV,142000,1.5,Manual,Diesel,4600,5,5,Hadhramout,clean,2020.0,5.0,sold,11.0,not_fully_electric,Japanese,"June, 2019","May, 2020"
Suzuki,SX4,87_11,2019,5,USA,Red,2012,Hatchback,75930,2.0,Manual,Diesel,4900,5,5,Hudaydah,clean,2020.0,5.0,sold,12.0,not_fully_electric,Japanese,"May, 2019","May, 2020"
Kia,Soul,43_12,2019,3,Korea,Silver,2011,Hatchback,64000,1.6,Automatic,Diesel,5300,5,5,Hudaydah,body_damage,2020.0,1.0,sold,10.0,not_fully_electric,Korean,"March, 2019","January, 2020"
Kia,Soul,43_12,2019,8,Korea,Brown,2011,Hatchback,37546,1.6,Manual,Diesel,5600,5,5,Sana'a,clean,2020.0,2.0,sold,6.0,not_fully_electric,Korean,"August, 2019","February, 2020"
Nissan,Pathfinder,64_24,2019,4,USA,Silver,2009,MPV,98000,2.5,Manual,Diesel,5000,5,5,Sana'a,clean,2020.0,11.0,sold,19.0,not_fully_electric,Japanese,"April, 2019","November, 2020"
Kia,Soul,43_12,2019,8,Korea,Silver,2010,Hatchback,47171,1.6,Automatic,Diesel,5700,5,5,Hudaydah,body_damage,2020.0,10.0,sold,14.0,not_fully_electric,Korean,"August, 2019","October, 2020"
Kia,Soul,43_12,2019,8,Korea,Silver,2012,Hatchback,59293,1.6,Manual,Diesel,5400,5,5,Sana'a,clean,2020.0,2.0,sold,6.0,not_fully_electric,Korean,"August, 2019","February, 2020"
Kia,Sorento,43_11,2019,3,Korea,Black,2008,SUV,85350,2.5,Manual,Diesel,5000,5,5,Hadhramout,body_damage,2020.0,5.0,sold,14.0,not_fully_electric,Korean,"March, 2019","May, 2020"
Kia,Soul,43_12,2019,7,Korea,Black,2012,Hatchback,53076,1.6,Manual,Diesel,5400,5,5,Hadhramout,clean,2020.0,4.0,sold,9.0,not_fully_electric,Korean,"July, 2019","April, 2020"
Nissan,Juke,64_14,2020,7,USA,Black,2011,SUV,95805,1.6,Manual,Petrol,5000,5,5,Aden,clean,2021.0,10.0,sold,15.0,not_fully_electric,Japanese,"July, 2020","October, 2021"
Nissan,Juke,64_14,2020,7,USA,Blue,2013,SUV,93628,1.5,Manual,Diesel,5000,5,5,Sana'a,clean,2021.0,2.0,sold,7.0,not_fully_electric,Japanese,"July, 2020","February, 2021"
Suzuki,SX4,87_11,2020,5,USA,Black,2012,Hatchback,63000,2.0,Manual,Diesel,5200,5,5,Aden,flood-damaged ,,,unsold,,not_fully_electric,Japanese,"May, 2020",
Toyota,RAV4,92_34,2019,4,USA,Silver,2010,SUV,121964,2.2,Manual,Diesel,4300,5,5,Sana'a,frame_damage,,,unsold,,not_fully_electric,Japanese,"April, 2019",
Toyota,Hilux,92_19,2019,7,GCC,White,2010,Pickup,121000,2.5,Manual,Diesel,4700,2,2,Hadhramout,clean,2020.0,9.0,sold,14.0,not_fully_electric,Japanese,"July, 2019","September, 2020"
Jeep,Grand Cherokee,40_4,2019,5,USA,Silver,2007,SUV,81000,3.0,Automatic,Diesel,5100,5,5,Hudaydah,body_damage,2022.0,2.0,sold,33.0,not_fully_electric,American,"May, 2019","February, 2022"
Jeep,Grand Cherokee,40_4,2019,7,USA,Silver,2007,SUV,100000,5.7,Automatic,Petrol,5100,5,5,Sana'a,body_damage,2021.0,9.0,sold,26.0,not_fully_electric,American,"July, 2019","September, 2021"
Kia,Soul,43_12,2019,8,Korea,Silver,2012,Hatchback,54000,1.6,Manual,Petrol,5400,5,5,Hudaydah,clean,2020.0,12.0,sold,16.0,not_fully_electric,Korean,"August, 2019","December, 2020"
Mercedes-Benz,C Class,59_12,2019,5,USA,Red,2008,Saloon,66800,2.1,Automatic,Diesel,5400,5,4,Hudaydah,body_damage,,,unsold,,not_fully_electric,European,"May, 2019",
Nissan,Juke,64_14,2019,8,USA,Silver,2010,SUV,55000,1.5,Manual,Diesel,5400,5,5,Hadhramout,body_damage,2020.0,7.0,sold,11.0,not_fully_electric,Japanese,"August, 2019","July, 2020"
Toyota,Hilux,92_19,2019,8,GCC,White,2010,Pickup,130000,2.5,Manual,Diesel,4800,4,4,Hadhramout,body_damage,2020.0,3.0,sold,7.0,not_fully_electric,Japanese,"August, 2019","March, 2020"
Jeep,Grand Cherokee,40_4,2019,5,USA,Black,2007,SUV,68117,3.0,Automatic,Diesel,5500,5,5,Aden,body_damage,2021.0,1.0,sold,20.0,not_fully_electric,American,"May, 2019","January, 2021"
Kia,Soul,43_12,2019,6,Korea,Silver,2010,Hatchback,74000,1.6,Manual,Diesel,5200,5,5,Aden,clean,2020.0,1.0,sold,7.0,not_fully_electric,Korean,"June, 2019","January, 2020"
Kia,Soul,43_12,2019,4,Korea,Red,2011,Hatchback,49805,1.6,Automatic,Diesel,5900,5,5,Hadhramout,body_damage,2020.0,4.0,sold,12.0,not_fully_electric,Korean,"April, 2019","April, 2020"
Kia,Soul,43_12,2019,4,Korea,Silver,2011,Hatchback,41580,1.6,Automatic,Diesel,5900,5,5,Sana'a,body_damage,2020.0,9.0,sold,17.0,not_fully_electric,Korean,"April, 2019","September, 2020"
Kia,Soul,43_12,2019,4,Korea,Silver,2010,Hatchback,31008,1.6,Manual,Diesel,5900,5,5,Hadhramout,body_damage,2020.0,2.0,sold,10.0,not_fully_electric,Korean,"April, 2019","February, 2020"
Mitsubishi,L200,62_13,2019,6,USA,Red,2013,Pickup,148313,2.5,Manual,Diesel,4900,5,4,Sana'a,clean,2020.0,6.0,sold,12.0,not_fully_electric,Japanese,"June, 2019","June, 2020"
Nissan,Juke,64_14,2019,8,USA,Grey,2011,SUV,78000,1.6,Manual,Petrol,5200,5,5,Sana'a,body_damage,2020.0,3.0,sold,7.0,not_fully_electric,Japanese,"August, 2019","March, 2020"
Suzuki,SX4,87_11,2019,4,USA,Blue,2012,Hatchback,50000,1.6,Manual,Petrol,5900,5,5,Hadhramout,clean,2020.0,1.0,sold,9.0,not_fully_electric,Japanese,"April, 2019","January, 2020"
Toyota,Yaris,92_44,2017,5,USA,Silver,2012,Hatchback,80000,1.3,Automatic,Petrol,5200,5,5,Hadhramout,clean,2018.0,6.0,sold,13.0,not_fully_electric,Japanese,"May, 2017","June, 2018"
Toyota,Yaris,92_44,2017,5,USA,White,2013,Hatchback,70000,1.4,Manual,Diesel,5500,5,5,Hudaydah,clean,2018.0,3.0,sold,10.0,not_fully_electric,Japanese,"May, 2017","March, 2018"
Kia,Soul,43_12,2017,4,Korea,Grey,2011,Hatchback,49000,1.6,Manual,Diesel,5400,5,5,Aden,frame_damage,,,unsold,,not_fully_electric,Korean,"April, 2017",
Kia,Soul,43_12,2017,6,Korea,Silver,2010,Hatchback,50000,1.6,Manual,Diesel,5900,5,5,Aden,body_damage,2018.0,7.0,sold,13.0,not_fully_electric,Korean,"June, 2017","July, 2018"
Kia,Soul,43_12,2017,3,Korea,Silver,2010,Hatchback,56000,1.6,Automatic,Diesel,5600,5,5,Hadhramout,body_damage,2018.0,3.0,sold,12.0,not_fully_electric,Korean,"March, 2017","March, 2018"
Kia,Soul,43_12,2017,5,Korea,Black,2011,Hatchback,42000,1.6,Manual,Diesel,5900,5,5,Sana'a,body_damage,2018.0,11.0,sold,18.0,not_fully_electric,Korean,"May, 2017","November, 2018"
Kia,Soul,43_12,2017,8,Korea,Silver,2011,Hatchback,38359,1.6,Automatic,Diesel,5900,5,5,Hadhramout,body_damage,2018.0,7.0,sold,11.0,not_fully_electric,Korean,"August, 2017","July, 2018"
Kia,Soul,43_12,2017,5,Korea,Red,2011,Hatchback,41944,1.6,Automatic,Diesel,5900,5,5,Hadhramout,clean,2018.0,8.0,sold,15.0,not_fully_electric,Korean,"May, 2017","August, 2018"
Kia,Sorento,43_11,2017,4,Korea,Black,2008,SUV,68000,2.5,Manual,Diesel,5600,5,5,Sana'a,body_damage,2018.0,8.0,sold,16.0,not_fully_electric,Korean,"April, 2017","August, 2018"
Kia,Soul,43_12,2017,8,Korea,White,2011,Hatchback,51000,1.6,Manual,Petrol,5600,5,5,Hudaydah,body_damage,2018.0,9.0,sold,13.0,not_fully_electric,Korean,"August, 2017","September, 2018"
Kia,Soul,43_12,2017,6,Korea,Blue,2011,Hatchback,63287,1.6,Manual,Diesel,5600,5,5,Hudaydah,body_damage,2018.0,6.0,sold,12.0,not_fully_electric,Korean,"June, 2017","June, 2018"
Lexus,RX 350,48_24,2017,3,USA,Grey,2007,SUV,77000,3.5,Automatic,Petrol,5300,5,5,Hadhramout,body_damage,2018.0,4.0,sold,13.0,not_fully_electric,Japanese,"March, 2017","April, 2018"
Nissan,Juke,64_14,2017,8,USA,Silver,2010,SUV,48000,1.6,Manual,Petrol,5900,5,5,Aden,body_damage,2018.0,2.0,sold,6.0,not_fully_electric,Japanese,"August, 2017","February, 2018"
Nissan,Juke,64_14,2017,7,USA,Red,2011,SUV,66000,1.6,Manual,Petrol,5600,5,5,Hadhramout,body_damage,2018.0,7.0,sold,12.0,not_fully_electric,Japanese,"July, 2017","July, 2018"
Nissan,Juke,64_14,2017,5,USA,Black,2011,SUV,60453,1.6,Manual,Petrol,5600,5,5,Hudaydah,body_damage,2018.0,6.0,sold,13.0,not_fully_electric,Japanese,"May, 2017","June, 2018"
Suzuki,Grand Vitara,87_4,2017,4,USA,Purple,2009,SUV,43000,2.4,Manual,Petrol,5900,5,3,Sana'a,body_damage,2018.0,2.0,sold,10.0,not_fully_electric,Japanese,"April, 2017","February, 2018"
Toyota,Yaris,92_44,2017,2,USA,Black,2014,Hatchback,72000,1.4,Manual,Diesel,5300,5,5,Sana'a,body_damage,2018.0,8.0,sold,18.0,not_fully_electric,Japanese,"February, 2017","August, 2018"
Toyota,Yaris,92_44,2017,5,USA,Silver,2013,Hatchback,53591,1.3,Manual,Petrol,5600,5,5,Sana'a,clean,2018.0,10.0,sold,17.0,not_fully_electric,Japanese,"May, 2017","October, 2018"
Jeep,Grand Cherokee,40_4,2017,6,USA,Black,2008,SUV,84100,3.0,Automatic,Diesel,5400,5,5,Hadhramout,body_damage,2020.0,10.0,sold,40.0,not_fully_electric,American,"June, 2017","October, 2020"
Kia,Soul,43_12,2017,5,Korea,Silver,2012,Hatchback,66000,1.6,Automatic,Diesel,5500,5,5,Hudaydah,flood-damaged ,,,unsold,,not_fully_electric,Korean,"May, 2017",
Kia,Soul,43_12,2017,4,Korea,Black,2011,Hatchback,68484,1.6,Manual,Diesel,5700,5,5,Hadhramout,body_damage,2018.0,10.0,sold,18.0,not_fully_electric,Korean,"April, 2017","October, 2018"
Kia,Soul,43_12,2017,3,Korea,Silver,2011,Hatchback,57815,1.6,Automatic,Diesel,5700,5,5,Hudaydah,clean,2018.0,5.0,sold,14.0,not_fully_electric,Korean,"March, 2017","May, 2018"
Kia,Soul,43_12,2017,7,Korea,Silver,2010,Hatchback,54000,1.6,Manual,Diesel,5700,5,5,Sana'a,clean,2018.0,6.0,sold,11.0,not_fully_electric,Korean,"July, 2017","June, 2018"
Kia,Sorento,43_11,2017,10,Korea,Black,2008,SUV,60956,2.5,Automatic,Diesel,5700,5,5,Sana'a,body_damage,2018.0,12.0,sold,14.0,not_fully_electric,Korean,"October, 2017","December, 2018"
Kia,Soul,43_12,2017,5,Korea,Red,2011,Hatchback,50900,1.6,Manual,Diesel,5700,5,5,Hadhramout,body_damage,2019.0,4.0,sold,23.0,not_fully_electric,Korean,"May, 2017","April, 2019"
Kia,Soul,43_12,2017,7,Korea,Silver,2012,Hatchback,54215,1.6,Manual,Diesel,5700,5,5,Hadhramout,body_damage,2019.0,8.0,sold,25.0,not_fully_electric,Korean,"July, 2017","August, 2019"
Kia,Soul,43_12,2017,5,Korea,Silver,2011,Hatchback,46000,1.6,Automatic,Diesel,6000,5,5,Hadhramout,clean,2019.0,5.0,sold,24.0,not_fully_electric,Korean,"May, 2017","May, 2019"
